Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
alvaradoVocabularioLenguaMixteca1593b,book,1593,"Alvarado, Francisco de",Vocabulario en lengua mixteca dirigido a la población de Tamaulipas por su Majestad (test item),,0-253-45499-9,,,https://primeroslibros.org/spotlight/primeros-libros-de-las-americas/catalog/fd04aa7ac60831cd29ec8538976a47aa,"Colofón: ""¶Acaboſe eſte preſente Vocabulario,En Tamaçulapa, a 6. de Septiēbre de 1592 años. El qual con ſu auċtor, ſe ſomete y ſubieċta ala cor-reċtion de la Sanċta madre Ygleſia Romana. EN MEXICO. En caſa de Pedro Balli. Año de 1593.""| Colophon: ""¶Acaboſe eſte preſente Vocabulario,En Tamaçulapa, a 6. de Septiēbre de 1592 años. El qual con ſu auċtor, ſe ſomete y ſubieċta ala cor-reċtion de la Sanċta madre Ygleſia Romana. EN MEXICO. En caſa de Pedro Balli. Año de 1593.""",,,,,,,,1,,,Vocabulario en lengua mixteca,Dictionaries,,,,"Balli, Pedro",Mexico (country)| México (country),"spa, qaa",https://creativecommons.org/publicdomain/mark/1.0/,,,,,,,,,,,,,,"Doe, John",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
franciscansReglaFrailesMenores1595,book,1595,Franciscans,"Regla de los frailes menores, con el testamento del bienaventurado padre San Francisco",,,,,https://primeroslibros.org/spotlight/primeros-libros-de-las-americas/catalog/b599c4ae3ff6b56e0226628ebd4e64ca,"Colofón: ""EN MEXICO. En caſa de Pedro Balli. 1595.""| Colophon: ""EN MEXICO. En caſa de Pedro Balli. 1595.""",,,,,,,,,,,,Constitutions| Administrative regulations,,,,"Balli, Pedro",Mexico (country)| México (country),Latin| lat| Spanish| spa,https://creativecommons.org/publicdomain/mark/1.0/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ovidTristibusQuamPonto1577,book,1577,"Ovid and of Nazianzus, Saint Gregory",De tristibus quam de ponto and De tristibus quam de ponto,,,,,https://primeroslibros.org/spotlight/primeros-libros-de-las-americas/catalog/ef568837bd27b3f710ed7ad047c9a429,Sin colofón por falta de últimas paginas.| No colophon for lack of last pages.,,,,,,,,,,,,Textbooks| Poetry,,,,"Ricardo, Antonio",Mexico (country)| México (country),Latin| lat,https://creativecommons.org/publicdomain/mark/1.0/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
molinaConfesionarioBreveLengua1577,book,1577,"Molina, Alonso de","Confesionario breve, en lengua mexicana y castellana",,,,,https://primeroslibros.org/spotlight/primeros-libros-de-las-americas/catalog/1fbf853b94d001920b68d002ac451faa,"Encuadernado con: ""Confesionario mayor, en la lengua mexicana y castellana"". Sin colofón.| Bound with: ""Confesionario mayor, en la lengua mexicana y castellana"". No colophon.",,,,,,,,,,,,Manuals,,,,"Balli, Pedro",Mexico (country)| México (country),"nah, spa",https://creativecommons.org/publicdomain/mark/1.0/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taixInstitucionModoRezar1576,book,1576,"Taix, Geroni","Institución, modo de rezar, y milagros e indulgencias del Rosario de la Virgen María, nuestra señora",,,,,https://primeroslibros.org/spotlight/primeros-libros-de-las-americas/catalog/9f07aaf3863ef88937ef00d9c7cbe3f2,"Colofón: ""EN MEXICO. En caſa de Pedro Balli. 1576.""| Colophon: ""EN MEXICO. En caſa de Pedro Balli. 1576.""",,,,,,,,,,,,Devotional literature| Prayers| Calendars,,,,"Balli, Pedro",Mexico (country)| México (country),Spanish| spa| Latin| lat,https://creativecommons.org/publicdomain/mark/1.0/,,,,,,,,,,,,"Salazar, Domingo de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alvaradoVocabularioLenguaMixteca1593,book,1593,"Alvarado, Francisco de",Vocabulario en lengua mixteca,,,,,https://primeroslibros.org/spotlight/primeros-libros-de-las-americas/catalog/fd04aa7ac60831cd29ec8538976a47aa,"Colofón: ""¶Acaboſe eſte preſente Vocabulario,En Tamaçulapa, a 6. de Septiēbre de 1592 años. El qual con ſu auċtor, ſe ſomete y ſubieċta ala cor-reċtion de la Sanċta madre Ygleſia Romana. EN MEXICO. En caſa de Pedro Balli. Año de 1593.""| Colophon: ""¶Acaboſe eſte preſente Vocabulario,En Tamaçulapa, a 6. de Septiēbre de 1592 años. El qual con ſu auċtor, ſe ſomete y ſubieċta ala cor-reċtion de la Sanċta madre Ygleſia Romana. EN MEXICO. En caſa de Pedro Balli. Año de 1593.""",,,,,,,,,,,,Dictionaries,,,,"Balli, Pedro",Mexico (country)| México (country),"spa, qaa",https://creativecommons.org/publicdomain/mark/1.0/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
